Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
184,5.203125799,3.614345903,90,616.0801748,2.353333333,12,376,855.20818,2.305067832,18.80589641,0,0,18.806,3.617,1,0,0
185,4.713967502,3.397116594,90,524.0638013,2.483333333,12,316,682.6496,2.163031155,16.01389722,0,0,16.014,3.579,0,0,0
186,5.01561024,3.482649468,90,572.3215136,2.473333333,12,388,870.2296,2.524892413,17.46761233,0,0,17.468,3.575,0,0,0
187,4.016797449,4.016797449,90,489.060187,1.576666667,12,240,496.034,1.684217725,16.13466175,0,0,16.135,3.394,0,0,0
188,3.75099083,3.074440885,90,371.2815716,2.826666667,12,208,441.54238,1.974777171,11.53219957,0,1.027,11.532,3.741,0,0,0
189,4.75520879,3.453313179,90,537.2303942,2.466666667,12,228,478.0564,1.477636665,16.42122518,0.46,2.144,16.421,3.643,1,0,0
190,5.043472582,3.535934878,90,584.8150141,2.456666667,12,300,665.6364,1.890025426,17.83339061,0.176,0.914,17.833,3.632,1,0,0
191,5.072147136,3.481725333,90,576.6844025,2.516666667,12,256,548.964,1.580719305,17.65982318,1.417,2.23,17.66,3.393,0,1.4593,3.0926
192,4.165043577,5.942818049,90,1149.840327,2.356666667,12,400,931.104,1.34465154,24.75209614,2.163,2.893,24.752,1.847,0,2.2125,3.8594
193,4.839999005,3.269739236,90,511.7938375,2.55,12,244,504.8456,1.637995185,15.82553465,0,0,15.826,3.475,0,0,0
194,4.400220823,3.559069365,90,518.4198485,2.373333333,12,384,871.61066,2.791836686,15.66069113,0,0.45,15.661,4.317,0,0,0
195,4.722743802,3.706964899,90,583.967859,2.3,12,372,843.86228,2.399560629,17.5070455,0.331,1.548,17.507,4.056,1,0,0
196,5.005487397,3.7958991,90,635.5087521,2.29,12,444,1031.44228,2.695085151,19.00032511,0,0.895,19,4.003,1,0,0
197,4.116446614,4.116446614,120,770.1647869,1.973333333,12,460,1079.852,2.328250347,16.94513273,0.674,1.165,14.675,2.826,0,0.4801,2.2281
198,5.026436102,3.759213101,90,631.9903466,2.35,12,400,914.76988,2.403535324,18.89544445,0.833,1.487,18.895,3.806,0,0.8748,2.2146
199,5.096959429,3.752899091,90,641.282941,2.416666667,12,404,926.43788,2.398919719,19.12837441,0,0,19.128,3.942,0,0,0
200,4.350967911,4.355676262,90,536.1820875,2.19,12,80,159.9884371,0.49547916,18.95140765,3.504,5.181,18.951,0.779,0,3.2193,6.3027
202,2.794482542,2.794482542,120,193.5535378,1.413333333,6,102,233.575,2.003892137,7.809132678,0,0,6.763,2.833,0,0,0
215,4.298707099,4.298707099,120,435.9505505,2.306666667,6,180,399.772,1.522734684,18.47888272,4.863,6.286,16.003,2.717,0,4.962,7.7089
220,3.914534628,3.914534628,120,416.0178005,2.18,8,260,587.532,2.34513965,15.32358135,1.675,2.431,13.271,4.036,0,1.4079,2.6975
229,4.137627623,4.137627623,120,394.5089143,2.44,6,108,221.968,0.934292033,17.11996235,5.784,7.441,14.826,2.666,0,5.7317,8.6878
237,4.369863874,4.369863874,120,531.6096183,1.94,8,404,969.672,3.028873411,19.09571028,1.233,1.812,16.537,3.88,0,0.7008,1.5737
245,3.27930722,3.279858653,119.9944385,274.8552028,2.39,8,372,897.128,5.420003248,10.75566416,0.041,0.219,9.315,5.602,0,0,0.4809
257,3.612453429,3.613019073,119.9948212,314.6980505,2.245,8,176,363.0336,1.915586939,13.05186314,0,0,11.304,3.413,0,0,0
266,3.537203703,3.537203703,120,285.0144449,2.733333333,6,122,259.67839,1.512927218,12.51181004,0.351,3.799,10.836,3.166,1,0,0
268,3.899163834,3.899741948,119.9950962,374.9396676,2.005,8,320,745.1736,3.300237294,15.20573277,0,0,13.169,3.833,0,0,0
269,5.024757959,3.339485484,90,679.9357675,2.7,8,232,538.8376,1.315949135,16.78010626,2.493,3.259,16.78,1.403,0,2.0813,3.4839
274,4.242896571,4.241042036,90,466.6139315,2.455,8,392,957.06,3.405889562,17.99430271,1.162,1.806,17.994,3.387,0,1.6874,0.6248
276,4.406418032,4.402910986,90,503.7564363,2.44,8,464,1144.64,3.773092114,19.40106636,0.789,1.312,19.401,3.495,0,1.2872,1.5901
277,4.025930414,4.027777958,119.9848274,397.79522,2.375,8,320,741.52,3.09536884,16.21555378,0,0,14.045,3.62,0,0,0
279,4.177375199,4.179970945,119.9794597,432.8366489,2.15,8,392,936.08,3.591187145,17.46130696,0,0,15.125,3.863,0,0,0
281,3.967390319,3.968221736,90,421.3939671,2.415,8,448,1096.176,4.319575537,15.7434845,0,0,15.743,3.651,0,0,0
282,4.034052201,4.035747525,119.9861049,407.8716102,2.19,8,520,1290.736,5.254882908,16.28041619,0,0,14.101,4.413,0,0,0
289,3.844166312,3.846616686,119.9789297,357.054082,2.43,8,244,539.882,2.51081054,14.78703428,0,0,12.809,3.68,0,0,0
292,3.047563542,3.047563542,120,216.3362658,2.273333333,6,112,232.2522,1.782705503,9.287643543,0.877,1.351,8.043,4.298,0,0.9083,1.7275
294,3.995880886,3.996895453,119.9916034,388.7444202,2.415,8,316,727.462,3.107386262,15.97111814,0,0,13.833,3.681,0,0,0
296,3.210166171,3.210166171,120,243.5957333,2.253333333,6,184,419.8322,2.861904682,10.30516685,0.685,1.128,8.925,4.363,0,0.749,1.4628
299,3.470167876,3.470167876,120,290.1789604,1.953333333,6,256,614.3922,3.515838119,12.04206509,0.453,0.869,10.429,4.547,0,0.519,1.1231
301,3.884472489,3.88447249,90,398.3119777,2.39,8,240,532.54,2.220127749,15.08912652,0,0,15.089,3.416,0,0,0
302,3.97770168,3.977701653,90,424.9942173,2.375,8,312,720.12,2.813655678,15.82211055,0,0,15.822,3.455,0,0,0
303,4.114598172,4.114598149,90,463.660164,2.15,8,384,914.68,3.275808429,16.92991802,0,0,16.93,3.635,0,0,0
304,4.324683566,4.063811475,90,456.4756379,2.27,8,264,603.1,2.193920174,17.5746987,1.414,1.987,17.575,3.313,0,1.1516,0
307,4.057452876,4.057452876,120,450.0063959,2.1,8,388,945.7932,3.490009412,16.46292384,0.673,1.159,14.257,4.015,0,0.3252,0
310,3.943006115,3.943008774,90,437.7296171,2.406666667,6,270,634.70988,2.407788988,15.54730771,0,0,15.547,2.937,0,0,0
312,3.364601925,3.364601925,120,264.6921098,2.716666667,6,120,253.502,1.590338204,11.32054611,0.351,0.071,9.804,3.504,1,0.1322,0
314,3.68776393,3.688019716,119.9977057,331.5813837,2.105,8,156,332.026,1.662765678,13.60054608,0,0,11.779,3.702,0,0,0
318,3.92261722,3.923060236,119.9962645,372.8567191,2.115,8,184,389.896,1.736424494,15.38866364,2.557,3.771,13.327,3.073,0,2.5941,2.5941
322,3.024510575,3.024510567,90,233.8005631,2.903333333,6,84,175.6876,1.247799062,9.147664194,0,0,9.148,2.227,0,0,
327,4.222645586,4.222645586,120,493.1771641,2.085,8,460,1133.3732,3.816094119,17.83073574,0.449,0.834,15.489,3.92,0,0.1208,
